reply_id,situation,english,hindi,odia
R034,Need medicine,I will check which medicine you need.,मैं जाँच करूँगा कि आपको कौन सी दवा चाहिए।,ଆପଣଙ୍କୁ କେଉଁ ଔଷଧ ଦରକାର ମୁଁ ଯାଞ୍ଚ କରିବି।
R035,Lost medicine,Tell me the name of the medicine.,मुझे दवा का नाम बताइए।,ମୋତେ ଔଷଧର ନାମ କୁହନ୍ତୁ।
R036,Medicine allergy,What medicine are you allergic to?,आपको किस दवा से एलर्जी है?,ଆପଣଙ୍କୁ କେଉଁ ଔଷଧରେ ଆଲର୍ଜି ହୁଏ?
R037,Food allergy,Which food are you allergic to?,आपको किस खाने की चीज़ से एलर्जी है?,ଆପଣଙ୍କୁ କେଉଁ ଖାଦ୍ୟରେ ଆଲର୍ଜି ହୁଏ?
R038,Diabetes,Are you taking medicine for diabetes?,क्या आप मधुमेह की दवा लेते हैं?,ଆପଣ କଣ ମଧୁମେହ ପାଇଁ ଔଷଧ ଖାଆନ୍ତି?
R039,High blood pressure,Do you take medicine for blood pressure?,क्या आप रक्तचाप की दवा लेते हैं?,ଆପଣ କଣ ରକ୍ତଚାପ ପାଇଁ ଔଷଧ ଖାଆନ୍ତି?
R040,Previous problem,When did you have this problem before?,आपको यह समस्या पहले कब हुई थी?,ଆପଣଙ୍କୁ ଏହି ସମସ୍ୟା ପୂର୍ବରୁ କେବେ ହୋଇଥିଲା?
R041,Previous operation,When did you have the operation?,आपका ऑपरेशन कब हुआ था?,ଆପଣଙ୍କ ଅପରେସନ କେବେ ହୋଇଥିଲା?
R042,Pregnancy,How many months pregnant are you?,आपको कितने महीने की गर्भावस्था है?,ଆପଣଙ୍କ ଗର୍ଭାବସ୍ଥା କେତେ ମାସ ହେଲା?
R043,Doctor,I am the doctor. Please tell me your problem.,मैं डॉक्टर हूँ। कृपया अपनी समस्या बताइए।,ମୁଁ ଡାକ୍ତର। ଦୟାକରି ଆପଣଙ୍କ ସମସ୍ୟା କୁହନ୍ତୁ।
R044,Help,I am here to help you.,मैं आपकी मदद करने के लिए यहाँ हूँ।,ମୁଁ ଆପଣଙ୍କୁ ସାହାଯ୍ୟ କରିବା ପାଇଁ ଏଠାରେ ଅଛି।
R045,Need doctor,I will call the doctor for you.,मैं आपके लिए डॉक्टर को बुलाऊँगा।,ମୁଁ ଆପଣଙ୍କ ପାଇଁ ଡାକ୍ତରଙ୍କୁ ଡାକିବି।
R046,Call doctor,I will call the doctor now.,मैं अभी डॉक्टर को बुलाऊँगा।,ମୁଁ ବର୍ତ୍ତମାନ ଡାକ୍ତରଙ୍କୁ ଡାକିବି।
R047,Water,Here is some water.,यह लीजिए पानी।,ନିଅନ୍ତୁ ପାଣି।
R048,Ambulance,We are calling an ambulance.,हम एम्बुलेंस बुला रहे हैं।,ଆମେ ଆମ୍ବୁଲାନ୍ସ ଡାକୁଛୁ।
R049,Bleeding,Please apply pressure here.,कृपया यहाँ दबाव डालें।,ଦୟାକରି ଏଠାରେ ଚାପ ଦିଅନ୍ତୁ।
R050,Fainted,Are you feeling better now?,क्या अब आपको बेहतर महसूस हो रहा है?,ଆପଣ ବର୍ତ୍ତମାନ ଭଲ ଅନୁଭବ କରୁଛନ୍ତି କି?
R051,Emergency,We will help you immediately.,हम तुरंत आपकी मदद करेंगे।,ଆମେ ତୁରନ୍ତ ଆପଣଙ୍କୁ ସାହାଯ୍ୟ କରିବୁ।
R052,Hospital,We will take you to the hospital.,हम आपको अस्पताल ले जाएँगे।,ଆମେ ଆପଣଙ୍କୁ ହସ୍ପିଟାଲ ନେଇଯିବୁ।
R053,General,Please sit here.,कृपया यहाँ बैठिए।,ଦୟାକରି ଏଠାରେ ବସନ୍ତୁ।
R054,General,Please stand up.,कृपया खड़े हो जाइए।,ଦୟାକରି ଠିଆ ହୁଅନ୍ତୁ।
R055,General,Please wait for a moment.,कृपया थोड़ी देर प्रतीक्षा करें।,ଦୟାକରି କିଛି ସମୟ ଅପେକ୍ଷା କରନ୍ତୁ।
R056,General,Please show me your medical report.,कृपया अपनी मेडिकल रिपोर्ट दिखाइए।,ଦୟାକରି ଆପଣଙ୍କ ମେଡିକାଲ ରିପୋର୍ଟ ଦେଖାନ୍ତୁ।
R057,Breathing,Please take a deep breath.,कृपया गहरी साँस लें।,ଦୟାକରି ଗଭୀର ନିଶ୍ୱାସ ନିଅନ୍ତୁ।
R058,Examination,Please open your mouth.,कृपया अपना मुँह खोलिए।,ଦୟାକରି ଆପଣଙ୍କ ପାଟି ଖୋଲନ୍ତୁ।
R059,Pain,Please point to the painful area.,कृपया दर्द वाली जगह की ओर इशारा करें।,ଦୟାକରି ବ୍ୟଥା ହେଉଥିବା ସ୍ଥାନକୁ ଦେଖାନ୍ତୁ।
R060,Examination,I will examine you now.,मैं अभी आपकी जाँच करूँगा।,ମୁଁ ବର୍ତ୍ତମାନ ଆପଣଙ୍କୁ ପରୀକ୍ଷା କରିବି।
R061,General,Please follow my instructions.,कृपया मेरे निर्देशों का पालन करें।,ଦୟାକରି ମୋ ନିର୍ଦ୍ଦେଶ ପାଳନ କରନ୍ତୁ।
R062,General,Do you understand?,क्या आप समझ रहे हैं?,ଆପଣ ବୁଝିପାରୁଛନ୍ତି କି?
R063,General,Do you need anything else?,क्या आपको और कुछ चाहिए?,ଆପଣଙ୍କୁ ଆଉ କିଛି ଦରକାର କି?
R064,General,Thank you.,धन्यवाद।,ଧନ୍ୟବାଦ।
